node_id,node_name,latitude,longitude,reeds_ba,voltage,load_participation_factor,bus_type,area,geometry,ReEDS_Region_UPDATE,nercr,transreg,subFERC,cendiv,st,interconnect,country,usda,aggreg,last_digits_node_id,id,FromBus,ToBus,Vn [kV],Length[km],Remarks,CKT,R [pu],X [pu],B [pu],Rate1[MVA],Rate2[MVA],Add [Y/N],Type,GeomCode,Conductor,Area,ReEDS_Region,Longitude,Latitude,last_digits_ToBus
10345230,7MONTGMRY_345230,38.92,-91.46,p72,345.0,0.0,PQ,356_EI,"POINT(38.92,-91.46)",p72,MISO,MISO,MISO_Central,WNC,MO,eastern,USA,corn-belt,MO_MISO,345230,339,700034,345230,500345,0.0,New 500/345kV 2W Transformer,1.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,345230
10345230,7MONTGMRY_345230,38.92,-91.46,p72,345.0,0.0,PQ,356_EI,"POINT(38.92,-91.46)",p72,MISO,MISO,MISO_Central,WNC,MO,eastern,USA,corn-belt,MO_MISO,345230,340,700034,345230,500345,0.0,New 500/345kV 2W Transformer,2.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,345230
10232000,STEELE_232000,38.9,-75.81,p123,230.0,0.0,PQ,235_EI,"POINT(38.9,-75.81)",p123,PJM,PJM,PJM_East,SA,MD,eastern,USA,northeast,MD,232000,706,700046,232000,500230,0.0,New 500/230 kV 2W Transformer,1.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,232000
10232000,STEELE_232000,38.9,-75.81,p123,230.0,0.0,PQ,235_EI,"POINT(38.9,-75.81)",p123,PJM,PJM,PJM_East,SA,MD,eastern,USA,northeast,MD,232000,707,700046,232000,500230,0.0,New 500/230 kV 2W Transformer,2.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,232000
10635680,BONDURANT3_635680,41.67,-93.5,p70,345.0,0.0,PQ,635_EI,"POINT(41.67,-93.5)",p70,MISO,MISO,MISO_North,WNC,IA,eastern,USA,corn-belt,IA,635680,352,700027,635680,500345,0.0,New 500/345kV 2W Transformer,1.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,635680
10635680,BONDURANT3_635680,41.67,-93.5,p70,345.0,0.0,PQ,635_EI,"POINT(41.67,-93.5)",p70,MISO,MISO,MISO_North,WNC,IA,eastern,USA,corn-belt,IA,635680,353,700027,635680,500345,0.0,New 500/345kV 2W Transformer,2.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,635680
10324106,7HARDIN CO_324106,37.66855,-85.90213,p109,345.0,0.0,PQ,363_EI,"POINT(37.66855,-85.90213)",p109,PJM,PJM,PJM_East,ESC,KY,eastern,USA,appalachia,KY_PJM,324106,415,700033,324106,500345,0.0,New 500/345kV 2W Transformer,1.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,324106
10324106,7HARDIN CO_324106,37.66855,-85.90213,p109,345.0,0.0,PQ,363_EI,"POINT(37.66855,-85.90213)",p109,PJM,PJM,PJM_East,ESC,KY,eastern,USA,appalachia,KY_PJM,324106,416,700033,324106,500345,0.0,New 500/345kV 2W Transformer,2.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,324106
10640227,HOSKINS4_640227,42.08,-97.35,p40,230.0,0.0,PQ,640_EI,"POINT(42.08,-97.35)",p40,SPP,SPP,SPP_North,WNC,NE,eastern,USA,northern-plains,NE,640227,348,700026,640227,500345,0.0,New 500/345kV 2W Transformer,1.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,640227
10640227,HOSKINS4_640227,42.08,-97.35,p40,230.0,0.0,PQ,640_EI,"POINT(42.08,-97.35)",p40,SPP,SPP,SPP_North,WNC,NE,eastern,USA,northern-plains,NE,640227,349,700026,640227,500345,0.0,New 500/345kV 2W Transformer,2.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,640227
10511468,L.E.S.-7_511468,34.6,-98.31,p50,345.0,0.0,PQ,520_EI,"POINT(34.6,-98.31)",p50,SPP,SPP,SPP_South,WSC,OK,eastern,USA,southern-plains,OK,511468,276,700011,511468,500345,0.0,New 500/345kV 2W Transformer,1.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,511468
