node_id,node_name,latitude,longitude,reeds_ba,voltage,load_participation_factor,bus_type,area,geometry,ReEDS_Region_UPDATE,nercr,transreg,subFERC,cendiv,st,interconnect,country,usda,aggreg,last_digits_node_id,id,FromBus,ToBus,Vn [kV],Length[km],Remarks,CKT,R [pu],X [pu],B [pu],Rate1[MVA],Rate2[MVA],Add [Y/N],Type,GeomCode,Conductor,Area,ReEDS_Region,Longitude,Latitude,last_digits_ToBus
30006480,SAPS4A      -6480,31.395745,-100.493373,,138.0,0.0,PQ,6480_ERCOT,"POINT(31.395745,-100.493373)",p61,ERCOT,ERCOT,ERCOT_W,WSC,TX,texas,USA,southern-plains,TX_W_ERCOT,6480,194,700028,6480,345138,0.0,New 345/138 kV 2W Transformer,1.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,6480
30006480,SAPS4A      -6480,31.395745,-100.493373,,138.0,0.0,PQ,6480_ERCOT,"POINT(31.395745,-100.493373)",p61,ERCOT,ERCOT,ERCOT_W,WSC,TX,texas,USA,southern-plains,TX_W_ERCOT,6480,195,700028,6480,345138,0.0,New 345/138 kV 2W Transformer,2.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,6480
30006515,SONR4A      -6515,30.568055,-100.65608,,138.0,0.004654631,PQ,6515_ERCOT,"POINT(30.568055,-100.65608)",p61,ERCOT,ERCOT,ERCOT_W,WSC,TX,texas,USA,southern-plains,TX_W_ERCOT,6515,36,700007,6515,345138,0.0,New 345/138 kV 2W Transformer,1.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,6515
30006515,SONR4A      -6515,30.568055,-100.65608,,138.0,0.004654631,PQ,6515_ERCOT,"POINT(30.568055,-100.65608)",p61,ERCOT,ERCOT,ERCOT_W,WSC,TX,texas,USA,southern-plains,TX_W_ERCOT,6515,37,700007,6515,345138,0.0,New 345/138 kV 2W Transformer,2.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,6515
30006535,BGLK4A      -6535,31.185681,-101.461981,,138.0,0.005983278,PQ,6535_ERCOT,"POINT(31.185681,-101.461981)",p62,ERCOT,ERCOT,ERCOT_W,WSC,TX,texas,USA,southern-plains,TX_W_ERCOT,6535,48,700009,6535,345138,0.0,New 345/138 kV 2W Transformer,1.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,6535
30006535,BGLK4A      -6535,31.185681,-101.461981,,138.0,0.005983278,PQ,6535_ERCOT,"POINT(31.185681,-101.461981)",p62,ERCOT,ERCOT,ERCOT_W,WSC,TX,texas,USA,southern-plains,TX_W_ERCOT,6535,49,700009,6535,345138,0.0,New 345/138 kV 2W Transformer,2.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,6535
30006562,FDRAN4A     -6562,30.708535,-101.143559,,138.0,0.0,PQ,6562_ERCOT,"POINT(30.708535,-101.143559)",p61,ERCOT,ERCOT,ERCOT_W,WSC,TX,texas,USA,southern-plains,TX_W_ERCOT,6562,31,700006,6562,345138,0.0,New 345/138 kV 2W Transformer,1.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,6562
30006562,FDRAN4A     -6562,30.708535,-101.143559,,138.0,0.0,PQ,6562_ERCOT,"POINT(30.708535,-101.143559)",p61,ERCOT,ERCOT,ERCOT_W,WSC,TX,texas,USA,southern-plains,TX_W_ERCOT,6562,32,700006,6562,345138,0.0,New 345/138 kV 2W Transformer,2.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,6562
30006601,RIOP4A      -6601,31.085441,-102.366479,,138.0,0.0,PQ,6601_ERCOT,"POINT(31.085441,-102.366479)",p61,ERCOT,ERCOT,ERCOT_W,WSC,TX,texas,USA,southern-plains,TX_W_ERCOT,6601,56,700010,6601,345138,0.0,New 345/138 kV 2W Transformer,1.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,6601
30006601,RIOP4A      -6601,31.085441,-102.366479,,138.0,0.0,PQ,6601_ERCOT,"POINT(31.085441,-102.366479)",p61,ERCOT,ERCOT,ERCOT_W,WSC,TX,texas,USA,southern-plains,TX_W_ERCOT,6601,57,700010,6601,345138,0.0,New 345/138 kV 2W Transformer,2.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,6601
30006655,BARL4A      -6655,30.947338,-103.365523,,138.0,0.0,PQ,6655_ERCOT,"POINT(30.947338,-103.365523)",p61,ERCOT,ERCOT,ERCOT_W,WSC,TX,texas,USA,southern-plains,TX_W_ERCOT,6655,12,700003,6655,345138,0.0,New 345/138 kV 2W Transformer,1.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,6655
30006655,BARL4A      -6655,30.947338,-103.365523,,138.0,0.0,PQ,6655_ERCOT,"POINT(30.947338,-103.365523)",p61,ERCOT,ERCOT,ERCOT_W,WSC,TX,texas,USA,southern-plains,TX_W_ERCOT,6655,13,700003,6655,345138,0.0,New 345/138 kV 2W Transformer,2.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,6655
30006671,TOMBSTNE4A  -6671,31.002533,-102.679222,,138.0,0.0,PQ,6671_ERCOT,"POINT(31.002533,-102.679222)",p61,ERCOT,ERCOT,ERCOT_W,WSC,TX,texas,USA,southern-plains,TX_W_ERCOT,6671,17,700004,6671,345138,0.0,New 345/138 kV 2W Transformer,1.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,6671
30006671,TOMBSTNE4A  -6671,31.002533,-102.679222,,138.0,0.0,PQ,6671_ERCOT,"POINT(31.002533,-102.679222)",p61,ERCOT,ERCOT,ERCOT_W,WSC,TX,texas,USA,southern-plains,TX_W_ERCOT,6671,18,700004,6671,345138,0.0,New 345/138 kV 2W Transformer,2.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,6671
30007126,L_FERGUS8_1Y-7126,30.555542,-98.371086,,138.0,0.0,PQ,7126_ERCOT,"POINT(30.555542,-98.371086)",p64,ERCOT,ERCOT,ERCOT_S,WSC,TX,texas,USA,southern-plains,TX_S_ERCOT,7126,211,700031,7126,345138,0.0,New 345/138 kV 2W Transformer,1.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,7126
30007126,L_FERGUS8_1Y-7126,30.555542,-98.371086,,138.0,0.0,PQ,7126_ERCOT,"POINT(30.555542,-98.371086)",p64,ERCOT,ERCOT,ERCOT_S,WSC,TX,texas,USA,southern-plains,TX_S_ERCOT,7126,212,700031,7126,345138,0.0,New 345/138 kV 2W Transformer,2.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,7126
30007356,L_MARSFO8_1Y-7356,30.390025,-97.907519,,138.0,0.0,PQ,7356_ERCOT,"POINT(30.390025,-97.907519)",p64,ERCOT,ERCOT,ERCOT_S,WSC,TX,texas,USA,southern-plains,TX_S_ERCOT,7356,228,700032,7356,345138,0.0,New 345/138 kV 2W Transformer,1.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,7356
30007356,L_MARSFO8_1Y-7356,30.390025,-97.907519,,138.0,0.0,PQ,7356_ERCOT,"POINT(30.390025,-97.907519)",p64,ERCOT,ERCOT,ERCOT_S,WSC,TX,texas,USA,southern-plains,TX_S_ERCOT,7356,229,700032,7356,345138,0.0,New 345/138 kV 2W Transformer,2.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,7356
30008125,LOLITA4A    -8125,28.851783,-96.557448,,138.0,7.43e-05,PQ,8125_ERCOT,"POINT(28.851783,-96.557448)",p65,ERCOT,ERCOT,ERCOT_S,WSC,TX,texas,USA,southern-plains,TX_S_ERCOT,8125,129,700020,8125,345138,0.0,New 345/138 kV 2W Transformer,1.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,8125
30008125,LOLITA4A    -8125,28.851783,-96.557448,,138.0,7.43e-05,PQ,8125_ERCOT,"POINT(28.851783,-96.557448)",p65,ERCOT,ERCOT,ERCOT_S,WSC,TX,texas,USA,southern-plains,TX_S_ERCOT,8125,130,700020,8125,345138,0.0,New 345/138 kV 2W Transformer,2.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,8125
30008162,COLETO4A    -8162,28.717549,-97.212866,,138.0,0.0,PQ,8162_ERCOT,"POINT(28.717549,-97.212866)",p65,ERCOT,ERCOT,ERCOT_S,WSC,TX,texas,USA,southern-plains,TX_S_ERCOT,8162,122,700019,8162,345138,0.0,New 345/138 kV 2W Transformer,1.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,8162
30008162,COLETO4A    -8162,28.717549,-97.212866,,138.0,0.0,PQ,8162_ERCOT,"POINT(28.717549,-97.212866)",p65,ERCOT,ERCOT,ERCOT_S,WSC,TX,texas,USA,southern-plains,TX_S_ERCOT,8162,123,700019,8162,345138,0.0,New 345/138 kV 2W Transformer,2.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,8162
30008172,VICTORIA4A  -8172,28.787127,-97.011236,,138.0,0.0,PQ,8172_ERCOT,"POINT(28.787127,-97.011236)",p65,ERCOT,ERCOT,ERCOT_S,WSC,TX,texas,USA,southern-plains,TX_S_ERCOT,8172,117,700018,8172,345138,0.0,New 345/138 kV 2W Transformer,1.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,8172
30008172,VICTORIA4A  -8172,28.787127,-97.011236,,138.0,0.0,PQ,8172_ERCOT,"POINT(28.787127,-97.011236)",p65,ERCOT,ERCOT,ERCOT_S,WSC,TX,texas,USA,southern-plains,TX_S_ERCOT,8172,118,700018,8172,345138,0.0,New 345/138 kV 2W Transformer,2.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,8172
30008193,LYSSY4A     -8193,28.94446,-98.17402,,138.0,0.0,PQ,8193_ERCOT,"POINT(28.94446,-98.17402)",p65,ERCOT,ERCOT,ERCOT_S,WSC,TX,texas,USA,southern-plains,TX_S_ERCOT,8193,97,700015,8193,345138,0.0,New 345/138 kV 2W Transformer,1.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,8193
